,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"1,591,177","489,178,074,000"
청주시,,,,,,"854,537",153440192000
충주시,,,,,,"207,241",24225416000
제천시,,,,,,"128,569",85524710000
보은군,,,,,,"30,527",6975886000
옥천군,,,,,,"48,204",13326368000
영동군,,,,,,"43,551",26610468000
증평군,,,,,,"37,171",7310811000
진천군,,,,,,"86,537",8829821000
괴산군,,,,,,"36,252",58095431000
음성군,,,,,,"91,236",57221704000
단양군,,,,,,"27,352",47617267000
