,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"2,363,629","10,466,506,000"
중구,,,,,,"97,711",0
동구,,,,,,"342,339",0
서구,,,,,,"163,135",0
남구,,,,,,"136,263",0
북구,,,,,,"413,010",0
수성구,,,,,,"409,107",0
달서구,,,,,,"522,021",0
달성군,,,,,,"257,580",0
군위군,,,,,,"22,463",10466506000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
