년도,시도,총 가입건수,주택 가입건수,온실 가입가구수,온실 가입면적(제곱미터),소상공인 가입건수
2024,서 울,44275,29697,4,11010,14574
2024,부 산,43984,39538,218,517107,4228
2024,대 구,4435,3599,2,1761,834
2024,인 천,17252,16117,61,110149,1074
2024,광 주,28143,27230,60,149062,853
2024,대 전,7133,6205,186,438837,742
2024,울 산,62717,59749,12,9774,2956
2024,세 종,2550,2405,6,12767,139
2024,경 기,105311,94909,2681,12744908,7721
2024,강 원,37929,30347,3998,6452270,3584
2024,충 북,17069,14475,1258,5026779,1336
2024,충 남,65030,57280,3416,8730784,4334
2024,전 북,73507,71012,701,1879951,1794
2024,전 남,65400,63528,298,362811,1574
2024,경 북,58331,53478,201,351291,4652
2024,경 남,76290,71837,516,1128007,3937
2024,제 주,18458,15287,2180,9950309,991
