년도,시도,총 가입건수,주택 가입건수,온실 가입가구수,온실 가입면적(제곱미터),소상공인 가입건수
2020,서울,7627,7027,0,0,600
2020,부산,25986,24542,161,524942,1283
2020,대구,4863,4746,1,276,116
2020,인천,3864,3634,32,48329,198
2020,광주,11992,11649,0,0,343
2020,대전,6999,6722,151,367429,126
2020,울산,25267,24638,3,1690,626
2020,세종,709,696,3,1605,10
2020,경기,54777,52272,1563,7687767,942
2020,강원,25716,22462,2024,3404686,1230
2020,충북,10307,9621,352,1349362,334
2020,충남,39988,36681,2637,7128466,670
2020,전북,56353,55294,787,2170341,272
2020,전남,58191,56716,583,1342868,892
2020,경북,37298,32969,112,234442,4217
2020,경남,44281,41870,670,1431091,1741
2020,제주,6940,6283,340,1047823,317
