년도,시도,총 가입건수,주택 가입건수,온실 가입가구수,온실 가입면적(제곱미터),소상공인 가입건수
2019,서울,6941,6855,6,4602,80
2019,부산,19889,19777,85,283262,27
2019,대구,5905,5898,1,51877,6
2019,인천,2739,2700,14,59538,25
2019,광주,13350,13203,1,117055,146
2019,대전,4275,4112,142,740726,21
2019,울산,12617,12494,1,285698,122
2019,세종,205,200,0,0,5
2019,경기,42129,40607,1421,6980119,101
2019,강원,24718,22643,1986,2491336,89
2019,충북,11326,10930,274,1136061,122
2019,충남,29495,27429,2038,5237341,28
2019,전북,55221,54569,616,2683394,36
2019,전남,60367,60194,164,245022,9
2019,경북,32583,32090,75,396888,418
2019,경남,37403,36824,392,1175617,187
2019,제주,4713,4502,150,793462,61
