년도,시도,총 가입건수,주택 가입건수,온실 가입가구수,온실 가입면적(제곱미터),소상공인 가입건수
2023,서 울,78454,32422,4,11958,46028
2023,부 산,45879,36754,219,520592,8906
2023,대 구,6608,3308,2,1761,3298
2023,인 천,20270,16684,57,107532,3529
2023,광 주,32111,29541,90,208446,2480
2023,대 전,5497,3069,196,428499,2232
2023,울 산,71170,65686,15,10788,5469
2023,세 종,2846,2376,5,8993,465
2023,경 기,113496,92758,2739,13268402,17999
2023,강 원,40523,28063,3914,6405894,8546
2023,충 북,15531,11961,1195,4828890,2375
2023,충 남,78529,66131,3597,9639433,8801
2023,전 북,74276,68278,734,1907735,5264
2023,전 남,66019,62330,322,438715,3367
2023,경 북,62641,53426,218,428322,8997
2023,경 남,78931,66879,587,1315097,11465
2023,제 주,18098,13968,1239,5417614,2891
