년도,시도,총 가입건수,주택 가입건수,온실 가입가구수,온실 가입면적(제곱미터),소상공인 가입건수
2021,서 울,15216,13396,1,8448,1819
2021,부 산,35862,33157,337,973905,2368
2021,대 구,3748,3530,1,276,217
2021,인 천,8199,7765,51,107211,383
2021,광 주,14489,13518,183,401834,788
2021,대 전,8589,8155,123,283088,311
2021,울 산,34176,33084,7,14838,1085
2021,세 종,1316,1292,3,2773,21
2021,경 기,62138,57021,2012,9616764,3105
2021,강 원,28476,23658,2600,4752088,2218
2021,충 북,21806,18635,830,3114241,2341
2021,충 남,52459,45218,2417,6568539,4824
2021,전 북,66639,64863,593,1680381,1183
2021,전 남,62455,60702,300,449449,1453
2021,경 북,45691,41667,143,262908,3881
2021,경 남,55892,53246,689,1609976,1957
2021,제 주,9354,8401,252,709030,701
