,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"1,408,422","39,388,062,000"
동구,,,,,,"106,203",6215341000
서구,,,,,,"279,050",3878260000
남구,,,,,,"207,597",4441111000
북구,,,,,,"423,961",14916838000
광산구,,,,,,"391,611",9936512000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
