,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"1,439,157","8,316,896,000"
동구,,,,,,"218,513",3267058000
중구,,,,,,"225,008",0
서구,,,,,,"457,951",5049838000
유성구,,,,,,"369,468",0
대덕구,,,,,,"168,217",0
