,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"670,368","32,024,697,000"
제주시,,,,,,"488,348",32024697000
서귀포시,,,,,,"182,020",0
